,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,zone,date
206,0,0,0,0,339,9,174,218,0,4,0,0,US-NW-PSEI,2024-05-18T18:00:00.000Z
207,0,0,0,0,0,0,857,0,0,0,0,0,US-NW-SCL,2024-05-18T18:00:00.000Z
208,0,0,0,0,0,0,273,0,0,0,0,0,US-NW-TPWR,2024-05-18T18:00:00.000Z
209,0,0,0,1491,1057,502,996,73,0,0,0,0,US-NW-WACM,2024-05-18T18:00:00.000Z
210,0,0,0,0,0,0,45,0,0,0,0,0,US-NW-WAUW,2024-05-18T18:00:00.000Z
211,3683,0,10,207,343,53,3077,5515,4,408,0,0,US-NY-NYIS,2024-05-18T18:00:00.000Z
212,0,0,0,0,0,0,193,0,0,0,0,0,US-SE-SEPA,2024-05-18T18:00:00.000Z
213,8193,0,0,3719,0,2423,547,14001,0,124,0,0,US-SE-SOCO,2024-05-18T18:00:00.000Z
214,0,0,0,765,373,700,0,23,0,30,0,0,US-SW-AZPS,2024-05-18T18:00:00.000Z
215,2,0,0,7,12,201,1,302,0,0,0,0,US-SW-EPE,2024-05-18T18:00:00.000Z
216,0,0,0,37,782,740,20,467,0,17,0,0,US-SW-PNM,2024-05-18T18:00:00.000Z
217,5213,0,0,431,69,565,4,949,0,1,0,0,US-SW-SRP,2024-05-18T18:00:00.000Z
218,0,0,0,148,242,328,0,274,0,0,0,0,US-SW-TEPC,2024-05-18T18:00:00.000Z
219,0,0,0,0,386,136,376,32,0,0,0,0,US-SW-WALC,2024-05-18T18:00:00.000Z
220,7341,0,0,1602,0,543,3736,4201,0,9,0,0,US-TEN-TVA,2024-05-18T18:00:00.000Z
221,3588,0,0,6375,3154,10466,133,28089,0,0,0,0,US-TEX-ERCO,2024-05-18T18:00:00.000Z
222,0,0,215,0,466,176,1004,0,0,0,0,0,UY,2024-05-18T18:00:00.000Z
223,0,0,0,586,0,0,0,0,0,0,0,0,XK,2024-05-18T18:00:00.000Z
224,932,0,41,20415,1288,0,48,0,0,0,1200,0,ZA,2024-05-18T18:00:00.000Z
